Thursday,October 10, Pittsburgh,Little Caesars Arena,7:00
Saturday,October 12, Nashville,Little Caesars Arena,7:00
Monday,October 14,at N.Y. Rangers,Madison Square Garden,7:00
Thursday,October 17, N.Y. Rangers,Little Caesars Arena,7:00
Saturday,October 19,at Nashville,Bridgestone Arena,2:00
Tuesday,October 22,at N.Y. Islanders,UBS Arena,7:45
Thursday,October 24, New Jersey,Little Caesars Arena,7:00
Saturday,October 26,at Buffalo,KeyBank Center,1:00
Sunday,October 27, EdMondayton,Little Caesars Arena,6:00
Wednesday,October 30, Winnipeg,Little Caesars Arena,7:30
Saturday,November 2, Buffalo,Little Caesars Arena,7:00
Wednesday,November 6,at Chicago,United Center,8:00
Friday,November 8,at Toronto,Scotiabank Arena,7:00
Saturday,November 9, N.Y. Rangers,Little Caesars Arena,7:00
Wednesday,November 13,at Pittsburgh,PPG Paints Arena,7:30
Friday,November 15,at Anaheim,Honda Center,10:00
Saturday,November 16,at Los Angeles,Crypto.com Arena,8:00
Monday,November 18,at San Jose,SAP Center,10:30
Thursday,November 21, N.Y. Islanders,Little Caesars Arena,7:00
Saturday,November 23, Boston,Little Caesars Arena,7:00
Monday,November 25,at N.Y. Islanders,UBS Arena,7:30
Wednesday,November 27, Calgary,Little Caesars Arena,7:30
Friday,November 29, New Jersey,Little Caesars Arena,3:00
Sunday,December 1, Vancouver,Little Caesars Arena,12:30
Tuesday,December 3,at Boston,TD Garden,7:00
Thursday,December 5,at Ottawa,Canadian Tire Centre,7:00
Saturday,December 7, Colorado,Little Caesars Arena,7:00
Monday,December 9,at Buffalo,KeyBank Center,7:00
Thursday,December 12,at Philadelphia,Wells Fargo Center,7:00
Saturday,December 14, Toronto,Little Caesars Arena,7:00
Wednesday,December 18, Philadelphia,Little Caesars Arena,7:00
Friday,December 20, Mondaytreal,Little Caesars Arena,7:00
Saturday,December 21,at Mondaytreal,Bell Centre,7:00
Monday,December 23, St. Louis,Little Caesars Arena,7:00
Friday,December 27, Toronto,Little Caesars Arena,7:00
Sunday,December 29, Washington,Little Caesars Arena,5:00
Tuesday,Decmber 31, Pittsburgh,Little Caesars Arena,8:00
Thursday,January 2,at Columbus,Nationwide Arena,7:00
Saturday,January 4,at Winnipeg,Canada Life Centre,7:00
Tuesday,January 7, Ottawa,Little Caesars Arena,7:00
Friday,January 10, Chicago,Little Caesars Arena,7:00
Sunday,January 12, Seattle,Little Caesars Arena,3:00
Tuesday,January 14, San Jose,Little Caesars Arena,7:00
Thursday,January 16,at Florida,Amerant Bank Arena,7:00
Saturday,January 18,at Tampa Bay,Amalie Arena,7:00
Sunday,January 19,at Dallas,American Airlines Center,8:00
Tuesday,January 21,at Philadelphia,Wells Fargo Center,7:00
Thursday,January 23, Mondaytreal,Little Caesars Arena,7:00
Saturday,January 25, Tampa Bay,Little Caesars Arena,7:00
Monday,January 27, Los Angeles,Little Caesars Arena,7:00
Thursday,January 30,at EdMondayton,Rogers Place,9:00
Saturday,February 1,at Calgary,Scotiabank Saddledome,10:00
Sunday,February 2,at Vancouver,Rogers Arena,8:00
Tuesday,February 4,at Seattle,Climate Pledge,10:00
Saturday,February 8, Tampa Bay,Little Caesars Arena,1:00
Saturday,February 22, Minnesota,Little Caesars Arena,3:30
Sunday,February 23, Anaheim,Little Caesars Arena,6:00
Tuesday,February 25,at Minnesota,Xcel Energy Center,8:00
Thursday,February 27, Columbus,Little Caesars Arena,7:00
Saturday,March 1,at Columbus*,Ohio Stadium,T.B.A
Tuesday,March 4, Carolina,Little Caesars Arena,7:00
Thursday,March 6, Utah,Little Caesars Arena,7:00
Friday,March 7,at Washington,Capital One Arena,7:00
Monday,March 10,at Ottawa,Canadian Tire,7:30
Wednesday,March 12, Buffalo,Little Caesars Arena,7:30
Friday,March 14,at Carolina,PNC Arena,7:00
Sunday,March 16, Vegas,Little Caesars Arena,1:00. 
Tuesday,March 18,at Washington,Capital One Arena,7:00
Saturday,March 22,at Vegas,T-Mobile Arena,8:00
Monday,March 24,at Utah,Delta Center,9:00
Tuesday,March 25,at Colorado,Ball Arena,9:00
Thursday,March 27, Ottawa,Little Caesars Arena,7:00
Saturday,March 29, Boston,Little Caesars Arena,8:00
Tuesday,April 1,at St. Louis,Enterprise,8:00
Friday,April 4, Carolina,Little Caesars Arena,7:00
Sunday,April 6, Florida,Little Caesars Arena,5:30
Tuesday,April 8,at Mondaytreal,Bell Centre,7:00
Thursday,April 10,at Florida,Amerant Bank,7:00
Friday,April 11,at Tampa Bay,Amalie Arena,7:00
Monday,April 14, Dallas,Little Caesars Arena,7:00
Wednesday,April 16,at New Jersey,Prudential Center,7:30
Thursday,April 17,at Toronto,Scotiabank Arena,7:00